maladie,symptomes,specialite_medicale
Migraine - cas 350,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hypertension - cas 351,"maux de tête, vertiges, vision floue",Cardiologie
Appendicite - cas 352,"douleur abdominale, nausée, fièvre",Chirurgie générale
Grippe - cas 353,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 354,"démangeaisons, rougeurs, peau sèche",Dermatologie
Migraine - cas 355,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hépatite B - cas 356,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Asthme - cas 357,"essoufflement, toux, respiration sifflante",Pneumologie
Diabète de type 2 - cas 358,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Arthrose - cas 359,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 360,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 361,"douleur abdominale, nausée, fièvre",Chirurgie générale
Dermatite atopique - cas 362,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hypertension - cas 363,"maux de tête, vertiges, vision floue",Cardiologie
Arthrose - cas 364,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 365,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 366,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 367,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Migraine - cas 368,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Sclérose en plaques - cas 369,"troubles visuels, faiblesse, engourdissements",Neurologie
Hypertension - cas 370,"maux de tête, vertiges, vision floue",Cardiologie
Asthme - cas 371,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 372,"toux grasse, essoufflement, fatigue",Pneumologie
Appendicite - cas 373,"douleur abdominale, nausée, fièvre",Chirurgie générale
Bronchite chronique - cas 374,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 375,"fatigue, pâleur, essoufflement",Hématologie
Dermatite atopique - cas 376,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hépatite B - cas 377,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Diabète de type 2 - cas 378,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Arthrose - cas 379,"douleurs articulaires, raideur, gonflement",Rhumatologie
Cirrhose hépatique - cas 380,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 381,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 382,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 383,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Asthme - cas 384,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 385,"maux de tête, vertiges, vision floue",Cardiologie
Arthrose - cas 386,"douleurs articulaires, raideur, gonflement",Rhumatologie
Tuberculose - cas 387,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Grippe - cas 388,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 389,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Asthme - cas 390,"essoufflement, toux, respiration sifflante",Pneumologie
Hépatite B - cas 391,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 392,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Diabète de type 2 - cas 393,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Arthrose - cas 394,"douleurs articulaires, raideur, gonflement",Rhumatologie
Diabète de type 2 - cas 395,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Grippe - cas 396,"fièvre, toux, fatigue, maux de tête",Médecine générale
Tuberculose - cas 397,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 398,"essoufflement, toux, respiration sifflante",Pneumologie
Dermatite atopique - cas 399,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hépatite B - cas 400,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Dermatite atopique - cas 401,"démangeaisons, rougeurs, peau sèche",Dermatologie
Anémie - cas 402,"fatigue, pâleur, essoufflement",Hématologie
Maladie de Crohn - cas 403,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 404,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Dermatite atopique - cas 405,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 406,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 407,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Diabète de type 2 - cas 408,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 409,"essoufflement, toux, respiration sifflante",Pneumologie
Migraine - cas 410,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Maladie de Crohn - cas 411,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Diabète de type 2 - cas 412,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 413,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Arthrose - cas 414,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 415,"essoufflement, toux, respiration sifflante",Pneumologie
Appendicite - cas 416,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 417,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Dermatite atopique - cas 418,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hypertension - cas 419,"maux de tête, vertiges, vision floue",Cardiologie
Anémie - cas 420,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 421,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 422,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 423,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Arthrose - cas 424,"douleurs articulaires, raideur, gonflement",Rhumatologie
Appendicite - cas 425,"douleur abdominale, nausée, fièvre",Chirurgie générale
Asthme - cas 426,"essoufflement, toux, respiration sifflante",Pneumologie
Maladie de Crohn - cas 427,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 428,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Migraine - cas 429,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Bronchite chronique - cas 430,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 431,"fatigue, pâleur, essoufflement",Hématologie
Tuberculose - cas 432,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Bronchite chronique - cas 433,"toux grasse, essoufflement, fatigue",Pneumologie
Grippe - cas 434,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 435,"démangeaisons, rougeurs, peau sèche",Dermatologie
Arthrose - cas 436,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 437,"essoufflement, toux, respiration sifflante",Pneumologie
Anémie - cas 438,"fatigue, pâleur, essoufflement",Hématologie
Cirrhose hépatique - cas 439,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Asthme - cas 440,"essoufflement, toux, respiration sifflante",Pneumologie
Anémie - cas 441,"fatigue, pâleur, essoufflement",Hématologie
Tuberculose - cas 442,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 443,"maux de tête, vertiges, vision floue",Cardiologie
Migraine - cas 444,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Maladie de Crohn - cas 445,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 446,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 447,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Cirrhose hépatique - cas 448,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 449,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Grippe - cas 450,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 451,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Diabète de type 2 - cas 452,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Bronchite chronique - cas 453,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 454,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 455,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Migraine - cas 456,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hépatite B - cas 457,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Migraine - cas 458,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Cirrhose hépatique - cas 459,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 460,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 461,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 462,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 463,"douleurs articulaires, raideur, gonflement",Rhumatologie
Arthrose - cas 464,"douleurs articulaires, raideur, gonflement",Rhumatologie
Bronchite chronique - cas 465,"toux grasse, essoufflement, fatigue",Pneumologie
Arthrose - cas 466,"douleurs articulaires, raideur, gonflement",Rhumatologie
Maladie de Crohn - cas 467,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 468,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 469,"fièvre, toux, fatigue, maux de tête",Médecine générale
Appendicite - cas 470,"douleur abdominale, nausée, fièvre",Chirurgie générale
Cirrhose hépatique - cas 471,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 472,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 473,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Cirrhose hépatique - cas 474,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Diabète de type 2 - cas 475,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Dermatite atopique - cas 476,"démangeaisons, rougeurs, peau sèche",Dermatologie
Anémie - cas 477,"fatigue, pâleur, essoufflement",Hématologie
Dermatite atopique - cas 478,"démangeaisons, rougeurs, peau sèche",Dermatologie
Arthrose - cas 479,"douleurs articulaires, raideur, gonflement",Rhumatologie
Maladie de Crohn - cas 480,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 481,"troubles visuels, faiblesse, engourdissements",Neurologie
Hypertension - cas 482,"maux de tête, vertiges, vision floue",Cardiologie
Dermatite atopique - cas 483,"démangeaisons, rougeurs, peau sèche",Dermatologie
Anémie - cas 484,"fatigue, pâleur, essoufflement",Hématologie
Migraine - cas 485,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 486,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Cirrhose hépatique - cas 487,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 488,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 489,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Diabète de type 2 - cas 490,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Dermatite atopique - cas 491,"démangeaisons, rougeurs, peau sèche",Dermatologie
Cirrhose hépatique - cas 492,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Asthme - cas 493,"essoufflement, toux, respiration sifflante",Pneumologie
Tuberculose - cas 494,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 495,"essoufflement, toux, respiration sifflante",Pneumologie
Diabète de type 2 - cas 496,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 497,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 498,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 499,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 500,"douleurs articulaires, raideur, gonflement",Rhumatologie
Diabète de type 2 - cas 501,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Appendicite - cas 502,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 503,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Sclérose en plaques - cas 504,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 505,"fatigue, pâleur, essoufflement",Hématologie
Tuberculose - cas 506,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 507,"essoufflement, toux, respiration sifflante",Pneumologie
Asthme - cas 508,"essoufflement, toux, respiration sifflante",Pneumologie
Sclérose en plaques - cas 509,"troubles visuels, faiblesse, engourdissements",Neurologie
Tuberculose - cas 510,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Anémie - cas 511,"fatigue, pâleur, essoufflement",Hématologie
Asthme - cas 512,"essoufflement, toux, respiration sifflante",Pneumologie
Grippe - cas 513,"fièvre, toux, fatigue, maux de tête",Médecine générale
Appendicite - cas 514,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 515,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hypertension - cas 516,"maux de tête, vertiges, vision floue",Cardiologie
Cirrhose hépatique - cas 517,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Diabète de type 2 - cas 518,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 519,"essoufflement, toux, respiration sifflante",Pneumologie
Diabète de type 2 - cas 520,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Maladie de Crohn - cas 521,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Bronchite chronique - cas 522,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 523,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Appendicite - cas 524,"douleur abdominale, nausée, fièvre",Chirurgie générale
Sclérose en plaques - cas 525,"troubles visuels, faiblesse, engourdissements",Neurologie
Migraine - cas 526,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Migraine - cas 527,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Dermatite atopique - cas 528,"démangeaisons, rougeurs, peau sèche",Dermatologie
Appendicite - cas 529,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hypertension - cas 530,"maux de tête, vertiges, vision floue",Cardiologie
Diabète de type 2 - cas 531,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Migraine - cas 532,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Appendicite - cas 533,"douleur abdominale, nausée, fièvre",Chirurgie générale
Cirrhose hépatique - cas 534,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Bronchite chronique - cas 535,"toux grasse, essoufflement, fatigue",Pneumologie
Arthrose - cas 536,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 537,"essoufflement, toux, respiration sifflante",Pneumologie
Sclérose en plaques - cas 538,"troubles visuels, faiblesse, engourdissements",Neurologie
Asthme - cas 539,"essoufflement, toux, respiration sifflante",Pneumologie
Hépatite B - cas 540,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Anémie - cas 541,"fatigue, pâleur, essoufflement",Hématologie
Dermatite atopique - cas 542,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hypertension - cas 543,"maux de tête, vertiges, vision floue",Cardiologie
Appendicite - cas 544,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 545,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Tuberculose - cas 546,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 547,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 548,"douleurs articulaires, raideur, gonflement",Rhumatologie
Grippe - cas 549,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 550,"démangeaisons, rougeurs, peau sèche",Dermatologie
Maladie de Crohn - cas 551,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Asthme - cas 552,"essoufflement, toux, respiration sifflante",Pneumologie
Migraine - cas 553,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Arthrose - cas 554,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hypertension - cas 555,"maux de tête, vertiges, vision floue",Cardiologie
Anémie - cas 556,"fatigue, pâleur, essoufflement",Hématologie
Appendicite - cas 557,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 558,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hépatite B - cas 559,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Dermatite atopique - cas 560,"démangeaisons, rougeurs, peau sèche",Dermatologie
Bronchite chronique - cas 561,"toux grasse, essoufflement, fatigue",Pneumologie
Grippe - cas 562,"fièvre, toux, fatigue, maux de tête",Médecine générale
Hépatite B - cas 563,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Anémie - cas 564,"fatigue, pâleur, essoufflement",Hématologie
Appendicite - cas 565,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hypertension - cas 566,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 567,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 568,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 569,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Bronchite chronique - cas 570,"toux grasse, essoufflement, fatigue",Pneumologie
Grippe - cas 571,"fièvre, toux, fatigue, maux de tête",Médecine générale
Tuberculose - cas 572,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Grippe - cas 573,"fièvre, toux, fatigue, maux de tête",Médecine générale
Anémie - cas 574,"fatigue, pâleur, essoufflement",Hématologie
Diabète de type 2 - cas 575,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Grippe - cas 576,"fièvre, toux, fatigue, maux de tête",Médecine générale
Sclérose en plaques - cas 577,"troubles visuels, faiblesse, engourdissements",Neurologie
Diabète de type 2 - cas 578,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Dermatite atopique - cas 579,"démangeaisons, rougeurs, peau sèche",Dermatologie
Anémie - cas 580,"fatigue, pâleur, essoufflement",Hématologie
Cirrhose hépatique - cas 581,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 582,"douleur abdominale, nausée, fièvre",Chirurgie générale
Dermatite atopique - cas 583,"démangeaisons, rougeurs, peau sèche",Dermatologie
Asthme - cas 584,"essoufflement, toux, respiration sifflante",Pneumologie
Tuberculose - cas 585,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Cirrhose hépatique - cas 586,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 587,"fatigue, pâleur, essoufflement",Hématologie
Anémie - cas 588,"fatigue, pâleur, essoufflement",Hématologie
Cirrhose hépatique - cas 589,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Arthrose - cas 590,"douleurs articulaires, raideur, gonflement",Rhumatologie
Bronchite chronique - cas 591,"toux grasse, essoufflement, fatigue",Pneumologie
Bronchite chronique - cas 592,"toux grasse, essoufflement, fatigue",Pneumologie
Hépatite B - cas 593,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Tuberculose - cas 594,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Maladie de Crohn - cas 595,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 596,"fièvre, toux, fatigue, maux de tête",Médecine générale
Diabète de type 2 - cas 597,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Sclérose en plaques - cas 598,"troubles visuels, faiblesse, engourdissements",Neurologie
Bronchite chronique - cas 599,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 600,"fatigue, pâleur, essoufflement",Hématologie
Grippe - cas 601,"fièvre, toux, fatigue, maux de tête",Médecine générale
Bronchite chronique - cas 602,"toux grasse, essoufflement, fatigue",Pneumologie
Tuberculose - cas 603,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 604,"maux de tête, vertiges, vision floue",Cardiologie
Tuberculose - cas 605,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 606,"maux de tête, vertiges, vision floue",Cardiologie
Appendicite - cas 607,"douleur abdominale, nausée, fièvre",Chirurgie générale
Grippe - cas 608,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 609,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Cirrhose hépatique - cas 610,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 611,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 612,"troubles visuels, faiblesse, engourdissements",Neurologie
Asthme - cas 613,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 614,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 615,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hépatite B - cas 616,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 617,"troubles visuels, faiblesse, engourdissements",Neurologie
Hépatite B - cas 618,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 619,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 620,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 621,"troubles visuels, faiblesse, engourdissements",Neurologie
Bronchite chronique - cas 622,"toux grasse, essoufflement, fatigue",Pneumologie
Appendicite - cas 623,"douleur abdominale, nausée, fièvre",Chirurgie générale
Sclérose en plaques - cas 624,"troubles visuels, faiblesse, engourdissements",Neurologie
Hépatite B - cas 625,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Grippe - cas 626,"fièvre, toux, fatigue, maux de tête",Médecine générale
Diabète de type 2 - cas 627,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Grippe - cas 628,"fièvre, toux, fatigue, maux de tête",Médecine générale
Tuberculose - cas 629,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Dermatite atopique - cas 630,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hépatite B - cas 631,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 632,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 633,"troubles visuels, faiblesse, engourdissements",Neurologie
Hépatite B - cas 634,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Cirrhose hépatique - cas 635,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Asthme - cas 636,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 637,"maux de tête, vertiges, vision floue",Cardiologie
Diabète de type 2 - cas 638,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 639,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 640,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Asthme - cas 641,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 642,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 643,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 644,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hépatite B - cas 645,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 646,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Bronchite chronique - cas 647,"toux grasse, essoufflement, fatigue",Pneumologie
Hépatite B - cas 648,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hypertension - cas 649,"maux de tête, vertiges, vision floue",Cardiologie
Cirrhose hépatique - cas 650,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 651,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 652,"toux grasse, essoufflement, fatigue",Pneumologie
Grippe - cas 653,"fièvre, toux, fatigue, maux de tête",Médecine générale
Appendicite - cas 654,"douleur abdominale, nausée, fièvre",Chirurgie générale
Grippe - cas 655,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 656,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 657,"fièvre, toux, fatigue, maux de tête",Médecine générale
Cirrhose hépatique - cas 658,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Tuberculose - cas 659,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 660,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 661,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 662,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Asthme - cas 663,"essoufflement, toux, respiration sifflante",Pneumologie
Asthme - cas 664,"essoufflement, toux, respiration sifflante",Pneumologie
Migraine - cas 665,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Appendicite - cas 666,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 667,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 668,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 669,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 670,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 671,"fatigue, pâleur, essoufflement",Hématologie
Grippe - cas 672,"fièvre, toux, fatigue, maux de tête",Médecine générale
Diabète de type 2 - cas 673,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Migraine - cas 674,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Grippe - cas 675,"fièvre, toux, fatigue, maux de tête",Médecine générale
Asthme - cas 676,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 677,"douleurs articulaires, raideur, gonflement",Rhumatologie
Dermatite atopique - cas 678,"démangeaisons, rougeurs, peau sèche",Dermatologie
Maladie de Crohn - cas 679,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Anémie - cas 680,"fatigue, pâleur, essoufflement",Hématologie
Migraine - cas 681,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Appendicite - cas 682,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 683,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 684,"troubles visuels, faiblesse, engourdissements",Neurologie
Diabète de type 2 - cas 685,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Diabète de type 2 - cas 686,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hépatite B - cas 687,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Migraine - cas 688,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Cirrhose hépatique - cas 689,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Tuberculose - cas 690,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Arthrose - cas 691,"douleurs articulaires, raideur, gonflement",Rhumatologie
Migraine - cas 692,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Maladie de Crohn - cas 693,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Anémie - cas 694,"fatigue, pâleur, essoufflement",Hématologie
Grippe - cas 695,"fièvre, toux, fatigue, maux de tête",Médecine générale
Anémie - cas 696,"fatigue, pâleur, essoufflement",Hématologie
Tuberculose - cas 697,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Maladie de Crohn - cas 698,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Bronchite chronique - cas 699,"toux grasse, essoufflement, fatigue",Pneumologie
