maladie,symptomes,specialite_medicale
Ulcère,"douleurs articulaires, fièvre, éruptions cutanées, maux de tête, fatigue",Neurologie
Sinusite,"douleur abdominale, palpitations, nausées",Médecine générale
Cirrhose,"douleur abdominale, fatigue, jaunisse, fièvre, vomissements",Ophtalmologie
Ulcère,"perte de poids, douleurs articulaires, douleur abdominale, diarrhée",Médecine générale
Sinusite,"douleur abdominale, éruptions cutanées, vomissements",Ophtalmologie
Goutte,"diarrhée, douleur abdominale, jaunisse, éruptions cutanées",Pneumologie
Otite,"perte de poids, diarrhée, essoufflement, vomissements",Infectiologie
Méningite,"douleurs articulaires, essoufflement, vertiges, fièvre, éruptions cutanées",Oncologie
Cancer du foie,"essoufflement, toux, perte de poids, nausées, maux de tête",Cardiologie
Sinusite,"fièvre, fatigue, jaunisse",Neurologie
Arthrose,"douleurs articulaires, éruptions cutanées, maux de tête, douleur abdominale",Rhumatologie
Appendicite,"perte de poids, essoufflement, fatigue, fièvre, nausées",Pneumologie
Cancer du foie,"vomissements, fatigue, essoufflement, douleur abdominale",Hématologie
Alzheimer,"diarrhée, vomissements, nausées",Pneumologie
Cataracte,"douleur abdominale, perte de poids, jaunisse, vomissements",Pédiatrie
Sinusite,"nausées, essoufflement, vertiges, éruptions cutanées",Médecine générale
Insuffisance rénale,"fatigue, palpitations, jaunisse",Ophtalmologie
Alzheimer,"douleurs articulaires, palpitations, vertiges, perte de poids, essoufflement",Dermatologie
Méningite,"vomissements, maux de tête, perte de poids, toux, essoufflement",Hématologie
Lupus,"douleurs articulaires, essoufflement, toux",ORL
Pneumonie,"jaunisse, éruptions cutanées, palpitations, douleur abdominale, diarrhée",Médecine générale
Migraine,"douleur abdominale, maux de tête, diarrhée, toux",Endocrinologie
Dermatite,"douleurs articulaires, fatigue, nausées, diarrhée, essoufflement",Hématologie
Lupus,"diarrhée, douleurs articulaires, douleur abdominale, fièvre",Cardiologie
Cancer du sein,"fatigue, éruptions cutanées, perte de poids, douleurs articulaires",Gastroentérologie
Dermatite,"toux, diarrhée, nausées, vertiges, éruptions cutanées",Pédiatrie
Hernie,"éruptions cutanées, fatigue, diarrhée, vomissements",Neurologie
Crohn,"douleur abdominale, fatigue, maux de tête",Ophtalmologie
Grippe,"diarrhée, douleurs articulaires, douleur abdominale",Cardiologie
Dermatite,"vomissements, éruptions cutanées, perte de poids, palpitations, douleurs articulaires",Pneumologie
Conjonctivite,"douleur abdominale, douleurs articulaires, jaunisse",Rhumatologie
Appendicite,"fièvre, maux de tête, essoufflement, fatigue",Neurologie
Cataracte,"palpitations, éruptions cutanées, vertiges",Oncologie
Glaucome,"jaunisse, nausées, fatigue",Hématologie
Cancer de la peau,"toux, maux de tête, fatigue, vertiges",Endocrinologie
Sinusite,"nausées, douleur abdominale, maux de tête, douleurs articulaires",Médecine générale
Grippe,"maux de tête, fièvre, douleur abdominale, toux",Pneumologie
Cancer du foie,"douleurs articulaires, palpitations, douleur abdominale, perte de poids, nausées",Rhumatologie
Sclérose,"essoufflement, douleurs articulaires, vertiges",Pneumologie
Pneumonie,"vertiges, perte de poids, douleur abdominale, fatigue, jaunisse",Pneumologie
Anémie,"jaunisse, fièvre, essoufflement, toux",Pneumologie
Glaucome,"vomissements, perte de poids, nausées, éruptions cutanées",Dermatologie
Sclérose,"nausées, vertiges, jaunisse",Dermatologie
Pneumonie,"fièvre, douleurs articulaires, éruptions cutanées, jaunisse, vertiges",Médecine générale
COVID-19,"douleur abdominale, vertiges, nausées, vomissements",Cardiologie
Thyroïdite,"fatigue, perte de poids, éruptions cutanées, palpitations",Chirurgie générale
Appendicite,"jaunisse, palpitations, fièvre, vomissements",Rhumatologie
Zona,"essoufflement, vertiges, perte de poids",ORL
Thyroïdite,"perte de poids, nausées, essoufflement",Médecine générale
Hépatite,"nausées, perte de poids, fatigue, palpitations",Gastroentérologie
Grippe,"maux de tête, vertiges, toux, fièvre, douleurs articulaires",Pédiatrie
Arthrite,"fatigue, diarrhée, jaunisse, vomissements",Gastroentérologie
Insuffisance rénale,"éruptions cutanées, maux de tête, vomissements, douleurs articulaires",Neurologie
Parkinson,"palpitations, fièvre, fatigue, douleur abdominale, diarrhée",Infectiologie
Conjonctivite,"fièvre, nausées, toux, vomissements, maux de tête",Neurologie
Appendicite,"douleurs articulaires, essoufflement, nausées, palpitations",Neurologie
Cancer du foie,"toux, palpitations, maux de tête, douleurs articulaires, nausées",Ophtalmologie
COVID-19,"douleurs articulaires, éruptions cutanées, maux de tête, toux, perte de poids",Hématologie
Diabète,"diarrhée, essoufflement, douleur abdominale",Gastroentérologie
Arthrose,"vertiges, palpitations, fatigue, douleurs articulaires",Hématologie
Sclérose,"vertiges, essoufflement, fatigue",Neurologie
Arthrose,"éruptions cutanées, douleur abdominale, essoufflement, vomissements, douleurs articulaires",Oncologie
Epilepsie,"perte de poids, diarrhée, maux de tête, essoufflement, douleur abdominale",Rhumatologie
Colite,"palpitations, vomissements, douleur abdominale, perte de poids, fatigue",Endocrinologie
Thyroïdite,"toux, fièvre, maux de tête",Pneumologie
Parkinson,"éruptions cutanées, maux de tête, diarrhée, toux, essoufflement",Médecine générale
Ulcère,"diarrhée, jaunisse, maux de tête, toux",Pneumologie
Paludisme,"fatigue, nausées, vertiges, diarrhée",Neurologie
Arthrose,"nausées, douleurs articulaires, vertiges",Hématologie
Lupus,"nausées, diarrhée, douleur abdominale, vertiges, essoufflement",Dermatologie
Pneumonie,"vertiges, toux, éruptions cutanées, maux de tête, vomissements",Dermatologie
VIH,"douleurs articulaires, fatigue, fièvre, nausées, palpitations",Chirurgie générale
Insuffisance rénale,"fatigue, jaunisse, éruptions cutanées, perte de poids, diarrhée",Infectiologie
Grippe,"jaunisse, palpitations, douleur abdominale",Infectiologie
Otite,"diarrhée, vomissements, vertiges, nausées, jaunisse",Ophtalmologie
Migraine,"palpitations, toux, diarrhée, éruptions cutanées",Cardiologie
Appendicite,"perte de poids, maux de tête, éruptions cutanées",Rhumatologie
COVID-19,"perte de poids, essoufflement, vomissements, diarrhée",ORL
Appendicite,"perte de poids, diarrhée, éruptions cutanées",ORL
Paludisme,"toux, fièvre, nausées, essoufflement",Gastroentérologie
Dermatite,"vomissements, essoufflement, nausées, jaunisse, éruptions cutanées",Gastroentérologie
Tuberculose,"fièvre, perte de poids, maux de tête",Pédiatrie
Zona,"palpitations, douleurs articulaires, fatigue, douleur abdominale",Hématologie
VIH,"jaunisse, vomissements, fièvre, fatigue",Ophtalmologie
Hypertension,"maux de tête, vertiges, essoufflement, douleurs articulaires, palpitations",Pédiatrie
Ulcère,"perte de poids, jaunisse, diarrhée",Endocrinologie
Dermatite,"toux, fatigue, douleurs articulaires, vomissements, essoufflement",Pneumologie
Otite,"palpitations, vertiges, fatigue, vomissements, maux de tête",Cardiologie
Migraine,"vertiges, douleurs articulaires, douleur abdominale, maux de tête, nausées",Médecine générale
Méningite,"diarrhée, éruptions cutanées, jaunisse, douleur abdominale, essoufflement",Neurologie
Cancer du sein,"éruptions cutanées, douleur abdominale, douleurs articulaires, fatigue",Chirurgie générale
Migraine,"éruptions cutanées, douleurs articulaires, diarrhée, essoufflement, maux de tête",Chirurgie générale
Epilepsie,"toux, fatigue, nausées, éruptions cutanées, jaunisse",Hématologie
Diabète,"jaunisse, maux de tête, douleurs articulaires, vomissements, diarrhée",Rhumatologie
Anémie,"jaunisse, fièvre, fatigue, diarrhée",Rhumatologie
VIH,"douleurs articulaires, palpitations, diarrhée, éruptions cutanées",Pédiatrie
Colite,"maux de tête, toux, fatigue, jaunisse",Chirurgie générale
Crohn,"fatigue, vertiges, essoufflement",Cardiologie
Glaucome,"perte de poids, maux de tête, douleur abdominale, fatigue, palpitations",Pneumologie
Migraine,"toux, essoufflement, diarrhée",Ophtalmologie
Tuberculose,"vomissements, éruptions cutanées, perte de poids",Dermatologie
Grippe,"fièvre, toux, jaunisse, nausées, maux de tête",Infectiologie
Asthme,"diarrhée, vertiges, jaunisse, toux",Endocrinologie
Arthrose,"palpitations, toux, vomissements, fatigue, fièvre",Infectiologie
VIH,"maux de tête, diarrhée, douleurs articulaires",Chirurgie générale
Ulcère,"jaunisse, maux de tête, fièvre",ORL
Hypertension,"douleurs articulaires, toux, jaunisse, essoufflement",Médecine générale
Dermatite,"diarrhée, nausées, douleur abdominale",Chirurgie générale
VIH,"jaunisse, vertiges, palpitations, fièvre",Dermatologie
Goutte,"fatigue, diarrhée, essoufflement, nausées",Oncologie
Diabète,"diarrhée, fatigue, essoufflement, vomissements, maux de tête",Endocrinologie
COVID-19,"diarrhée, nausées, vomissements",Cardiologie
Gastrite,"vertiges, palpitations, éruptions cutanées, toux, essoufflement",Dermatologie
Hypertension,"jaunisse, fièvre, vomissements",Médecine générale
Arthrose,"toux, maux de tête, douleur abdominale",Dermatologie
Cancer du sein,"diarrhée, essoufflement, nausées, fièvre, palpitations",Neurologie
Arthrite,"douleurs articulaires, fatigue, douleur abdominale, toux, jaunisse",Dermatologie
Asthme,"nausées, douleur abdominale, maux de tête, essoufflement, palpitations",Cardiologie
Conjonctivite,"essoufflement, nausées, fatigue",Infectiologie
Ulcère,"fièvre, vertiges, perte de poids",Dermatologie
Dermatite,"douleur abdominale, fatigue, vertiges, vomissements",Endocrinologie
Arthrite,"nausées, diarrhée, toux, vertiges",Oncologie
Insuffisance rénale,"toux, vomissements, nausées, jaunisse",Oncologie
Cancer du sein,"perte de poids, fièvre, diarrhée",Pédiatrie
Cancer de la peau,"nausées, fièvre, diarrhée, fatigue",Cardiologie
Paludisme,"toux, essoufflement, nausées",Médecine générale
Diabète,"nausées, vertiges, maux de tête, fièvre, douleur abdominale",Infectiologie
Cancer du foie,"essoufflement, perte de poids, jaunisse, diarrhée",Endocrinologie
Lupus,"toux, nausées, vertiges, palpitations",Pédiatrie
Diabète,"palpitations, toux, nausées",Endocrinologie
Asthme,"palpitations, douleurs articulaires, vertiges",Pédiatrie
Glaucome,"toux, perte de poids, douleurs articulaires, palpitations",Oncologie
Bronchite,"vomissements, fièvre, palpitations, vertiges",Dermatologie
Cancer du sein,"vomissements, éruptions cutanées, palpitations",Neurologie
Arthrose,"douleur abdominale, perte de poids, maux de tête, éruptions cutanées",Endocrinologie
Epilepsie,"jaunisse, perte de poids, palpitations, douleur abdominale, diarrhée",Chirurgie générale
Ulcère,"toux, maux de tête, fièvre, fatigue",Médecine générale
Bronchite,"fièvre, maux de tête, palpitations, fatigue, éruptions cutanées",Infectiologie
Cirrhose,"fièvre, maux de tête, vertiges, essoufflement",Cardiologie
Hernie,"essoufflement, douleurs articulaires, fatigue, éruptions cutanées, diarrhée",Chirurgie générale
Hypertension,"maux de tête, douleurs articulaires, perte de poids, toux",Cardiologie
Cataracte,"douleurs articulaires, vomissements, jaunisse",Oncologie
Méningite,"éruptions cutanées, fièvre, douleur abdominale, toux, vertiges",Médecine générale
Sclérose,"diarrhée, maux de tête, jaunisse",Rhumatologie
Alzheimer,"jaunisse, douleur abdominale, perte de poids, essoufflement",Endocrinologie
Appendicite,"fièvre, douleur abdominale, vomissements, diarrhée, jaunisse",Dermatologie
Colite,"fatigue, jaunisse, douleurs articulaires",Hématologie
Arthrose,"toux, jaunisse, vomissements",Pédiatrie
Epilepsie,"perte de poids, douleurs articulaires, vertiges",Neurologie
Glaucome,"douleurs articulaires, vertiges, maux de tête, perte de poids",Endocrinologie
Migraine,"douleurs articulaires, éruptions cutanées, diarrhée, perte de poids, toux",Pneumologie
Glaucome,"douleur abdominale, vomissements, éruptions cutanées, vertiges",Dermatologie
Cirrhose,"douleurs articulaires, fatigue, maux de tête, éruptions cutanées, diarrhée",Gastroentérologie
Méningite,"douleurs articulaires, perte de poids, essoufflement",Infectiologie
Asthme,"jaunisse, fatigue, vomissements, maux de tête, perte de poids",Ophtalmologie
Grippe,"toux, douleurs articulaires, palpitations, essoufflement, éruptions cutanées",ORL
Goutte,"jaunisse, perte de poids, vomissements, toux, fièvre",Pneumologie
Dermatite,"palpitations, éruptions cutanées, jaunisse",ORL
VIH,"maux de tête, diarrhée, douleurs articulaires, essoufflement",Pédiatrie
Psoriasis,"jaunisse, palpitations, perte de poids, essoufflement",ORL
Tuberculose,"diarrhée, jaunisse, éruptions cutanées, douleur abdominale, palpitations",Cardiologie
Conjonctivite,"maux de tête, vomissements, perte de poids, palpitations",Pneumologie
Hernie,"toux, jaunisse, palpitations, fièvre, nausées",Pneumologie
Colite,"essoufflement, vomissements, fatigue",Pneumologie
Méningite,"essoufflement, éruptions cutanées, douleurs articulaires",Chirurgie générale
Otite,"perte de poids, vertiges, palpitations",Gastroentérologie
Sinusite,"éruptions cutanées, vertiges, jaunisse, douleurs articulaires, vomissements",Médecine générale
Diabète,"vertiges, fatigue, fièvre",Infectiologie
Anémie,"perte de poids, éruptions cutanées, douleurs articulaires, vertiges",Hématologie
Asthme,"fièvre, nausées, palpitations",Chirurgie générale
Lupus,"jaunisse, éruptions cutanées, palpitations",Endocrinologie
Arthrite,"toux, maux de tête, palpitations, essoufflement",Hématologie
Insuffisance rénale,"nausées, fatigue, vertiges, essoufflement",Dermatologie
Grippe,"douleur abdominale, éruptions cutanées, jaunisse, diarrhée, palpitations",Endocrinologie
Cancer du sein,"vertiges, douleur abdominale, diarrhée",Cardiologie
Méningite,"douleurs articulaires, fièvre, jaunisse, vomissements, fatigue",Médecine générale
Sinusite,"diarrhée, vomissements, palpitations",Oncologie
Cancer du sein,"éruptions cutanées, diarrhée, jaunisse",Hématologie
Goutte,"diarrhée, palpitations, fièvre, jaunisse, vomissements",Endocrinologie
Parkinson,"vomissements, palpitations, diarrhée, essoufflement, nausées",Hématologie
Psoriasis,"perte de poids, nausées, fatigue",Cardiologie
Otite,"palpitations, essoufflement, maux de tête, nausées, fièvre",Dermatologie
Hernie,"diarrhée, vertiges, nausées",Ophtalmologie
Arthrite,"toux, essoufflement, éruptions cutanées, maux de tête",Hématologie
Epilepsie,"éruptions cutanées, jaunisse, palpitations, nausées",Rhumatologie
Hypertension,"vomissements, douleur abdominale, maux de tête",Chirurgie générale
Méningite,"douleurs articulaires, perte de poids, éruptions cutanées",Pneumologie
VIH,"perte de poids, essoufflement, éruptions cutanées, vertiges, toux",Oncologie
Thyroïdite,"maux de tête, toux, perte de poids, palpitations",Dermatologie
Cancer du foie,"douleurs articulaires, nausées, maux de tête",Hématologie
Otite,"éruptions cutanées, palpitations, jaunisse",Ophtalmologie
Ulcère,"toux, perte de poids, diarrhée, essoufflement",Cardiologie
VIH,"diarrhée, douleurs articulaires, perte de poids, nausées",Cardiologie
Cirrhose,"jaunisse, essoufflement, diarrhée",Médecine générale
Colite,"palpitations, vertiges, perte de poids",Infectiologie
Lupus,"palpitations, vertiges, perte de poids",Neurologie
Glaucome,"diarrhée, palpitations, jaunisse, nausées, vertiges",Gastroentérologie
Hépatite,"toux, douleurs articulaires, fatigue",Dermatologie
Cancer du foie,"éruptions cutanées, vertiges, perte de poids, nausées",Oncologie
Appendicite,"diarrhée, fièvre, toux, nausées, essoufflement",Neurologie
Pneumonie,"diarrhée, maux de tête, essoufflement, fièvre",Chirurgie générale
Parkinson,"essoufflement, palpitations, fièvre, maux de tête, nausées",Infectiologie
Hernie,"maux de tête, fatigue, vomissements, jaunisse",Endocrinologie
Conjonctivite,"toux, fatigue, palpitations, maux de tête",ORL
Appendicite,"fatigue, essoufflement, maux de tête",Pédiatrie
Glaucome,"maux de tête, éruptions cutanées, douleur abdominale",Pédiatrie
Migraine,"maux de tête, éruptions cutanées, fatigue",Dermatologie
Glaucome,"perte de poids, fièvre, essoufflement",Pédiatrie
Dermatite,"fatigue, diarrhée, fièvre, palpitations, essoufflement",Pneumologie
Colite,"éruptions cutanées, fièvre, vomissements, jaunisse",Hématologie
Asthme,"jaunisse, vertiges, vomissements, fatigue",Médecine générale
Parkinson,"fièvre, éruptions cutanées, palpitations",Chirurgie générale
Cancer du foie,"vomissements, essoufflement, jaunisse",Oncologie
Insuffisance rénale,"fièvre, fatigue, nausées, essoufflement, maux de tête",Pédiatrie
Goutte,"toux, fatigue, palpitations, diarrhée, fièvre",Cardiologie
Cancer du sein,"fièvre, maux de tête, vomissements, perte de poids, jaunisse",Endocrinologie
Pneumonie,"éruptions cutanées, toux, nausées, maux de tête",Infectiologie
Diabète,"nausées, fatigue, douleurs articulaires",Cardiologie
Pneumonie,"fatigue, palpitations, nausées, toux",Neurologie
Crohn,"fièvre, douleurs articulaires, fatigue, éruptions cutanées, perte de poids",Infectiologie
Zona,"maux de tête, diarrhée, nausées, douleurs articulaires",Hématologie
Gastrite,"fièvre, douleurs articulaires, fatigue, diarrhée",Médecine générale
Otite,"vomissements, perte de poids, diarrhée, essoufflement, fatigue",Gastroentérologie
Tuberculose,"palpitations, jaunisse, douleur abdominale, douleurs articulaires",Oncologie
Appendicite,"éruptions cutanées, palpitations, douleur abdominale",Chirurgie générale
Cancer de la peau,"diarrhée, nausées, éruptions cutanées, perte de poids, essoufflement",Gastroentérologie
Appendicite,"essoufflement, fièvre, perte de poids, jaunisse",Rhumatologie
VIH,"toux, palpitations, vertiges",ORL
Anémie,"perte de poids, diarrhée, toux, fièvre, essoufflement",Hématologie
Cancer du foie,"vomissements, toux, nausées",Neurologie
Tuberculose,"éruptions cutanées, perte de poids, essoufflement",Pneumologie
Gastrite,"essoufflement, nausées, fièvre, vomissements",Neurologie
Cancer du sein,"perte de poids, nausées, essoufflement, vertiges",Hématologie
Migraine,"douleur abdominale, vertiges, jaunisse, nausées, diarrhée",Pédiatrie
Tuberculose,"jaunisse, éruptions cutanées, essoufflement",Endocrinologie
Sclérose,"douleurs articulaires, diarrhée, vertiges, fatigue, fièvre",ORL
Alzheimer,"fatigue, fièvre, vomissements, douleurs articulaires, nausées",Cardiologie
Méningite,"essoufflement, fatigue, diarrhée, maux de tête",Pédiatrie
Migraine,"éruptions cutanées, toux, essoufflement, fièvre",Gastroentérologie
Glaucome,"douleur abdominale, essoufflement, fièvre, éruptions cutanées",Gastroentérologie
Alzheimer,"vomissements, toux, vertiges, maux de tête, douleurs articulaires",Rhumatologie
Obésité,"perte de poids, essoufflement, vertiges, douleurs articulaires",Pneumologie
Appendicite,"maux de tête, palpitations, jaunisse, éruptions cutanées, vomissements",Oncologie
Appendicite,"jaunisse, fatigue, fièvre",Cardiologie
Hernie,"perte de poids, vertiges, nausées, toux",Rhumatologie
Cancer du foie,"essoufflement, vomissements, fatigue, éruptions cutanées, palpitations",Médecine générale
Hernie,"éruptions cutanées, vertiges, fatigue, douleurs articulaires, essoufflement",Infectiologie
Hernie,"douleur abdominale, douleurs articulaires, jaunisse, palpitations",Hématologie
Crohn,"essoufflement, éruptions cutanées, vertiges, fièvre",Rhumatologie
Arthrite,"fatigue, vertiges, vomissements, fièvre",Endocrinologie
Hernie,"jaunisse, éruptions cutanées, toux, fièvre, perte de poids",Infectiologie
Ulcère,"éruptions cutanées, fièvre, palpitations, diarrhée",Médecine générale
Migraine,"nausées, douleurs articulaires, fatigue, perte de poids, douleur abdominale",Médecine générale
Diabète,"diarrhée, jaunisse, nausées",Neurologie
Appendicite,"palpitations, essoufflement, douleur abdominale",Chirurgie générale
Sinusite,"douleurs articulaires, maux de tête, jaunisse",Dermatologie
Arthrite,"vertiges, diarrhée, douleur abdominale",Chirurgie générale
Hernie,"perte de poids, diarrhée, vertiges",Pneumologie
Cancer de la peau,"douleurs articulaires, nausées, vertiges",Pneumologie
Arthrose,"vomissements, maux de tête, jaunisse, fatigue",Cardiologie
Tuberculose,"éruptions cutanées, essoufflement, nausées, douleur abdominale",Hématologie
Cataracte,"nausées, douleurs articulaires, vomissements, éruptions cutanées",Neurologie
Crohn,"toux, jaunisse, nausées, douleurs articulaires",Hématologie
Parkinson,"maux de tête, vertiges, douleur abdominale, douleurs articulaires, toux",ORL
Diabète,"palpitations, éruptions cutanées, vomissements",Chirurgie générale
Conjonctivite,"toux, vertiges, jaunisse, nausées",Pneumologie
Cancer du foie,"perte de poids, diarrhée, jaunisse, nausées, essoufflement",Endocrinologie
Appendicite,"essoufflement, éruptions cutanées, fièvre, vomissements",Cardiologie
COVID-19,"vertiges, jaunisse, vomissements, nausées, palpitations",Pédiatrie
Pneumonie,"vertiges, diarrhée, douleurs articulaires, essoufflement, fatigue",Pédiatrie
Otite,"éruptions cutanées, vertiges, maux de tête, fièvre",Ophtalmologie
Arthrite,"palpitations, douleur abdominale, jaunisse, nausées, fatigue",Endocrinologie
Psoriasis,"perte de poids, maux de tête, essoufflement, diarrhée, vomissements",Cardiologie
Otite,"douleur abdominale, perte de poids, vomissements",Rhumatologie
Cancer de la peau,"vomissements, essoufflement, diarrhée",Pneumologie
Migraine,"douleur abdominale, palpitations, diarrhée, essoufflement",Endocrinologie
Bronchite,"fièvre, maux de tête, perte de poids",Médecine générale
Diabète,"perte de poids, diarrhée, fièvre, vertiges",Médecine générale
Goutte,"fièvre, maux de tête, diarrhée, vomissements, nausées",Chirurgie générale
Insuffisance rénale,"perte de poids, essoufflement, nausées, vomissements, maux de tête",Oncologie
Méningite,"éruptions cutanées, douleurs articulaires, jaunisse, diarrhée, toux",Pneumologie
Sclérose,"fatigue, fièvre, essoufflement",Gastroentérologie
VIH,"fièvre, toux, perte de poids, nausées",Rhumatologie
Paludisme,"fièvre, éruptions cutanées, vertiges",Neurologie
Paludisme,"éruptions cutanées, diarrhée, perte de poids, douleurs articulaires, vomissements",Rhumatologie
Goutte,"douleurs articulaires, jaunisse, maux de tête",Médecine générale
Asthme,"diarrhée, vertiges, fatigue, maux de tête",Gastroentérologie
Tuberculose,"palpitations, douleurs articulaires, douleur abdominale, vertiges, diarrhée",Ophtalmologie
Arthrose,"éruptions cutanées, jaunisse, palpitations",Dermatologie
Lupus,"fièvre, perte de poids, diarrhée",Gastroentérologie
Cataracte,"éruptions cutanées, palpitations, vomissements, fatigue",ORL
Tuberculose,"maux de tête, diarrhée, palpitations, nausées, douleurs articulaires",Rhumatologie
Diabète,"perte de poids, nausées, douleur abdominale, palpitations",Chirurgie générale
Colite,"jaunisse, toux, nausées, douleurs articulaires",Pédiatrie
Arthrose,"jaunisse, vomissements, maux de tête, essoufflement",Neurologie
Obésité,"palpitations, maux de tête, douleurs articulaires",Ophtalmologie
Hépatite,"maux de tête, douleurs articulaires, diarrhée",Oncologie
Hernie,"fatigue, nausées, vomissements, jaunisse",Neurologie
Cataracte,"diarrhée, vomissements, palpitations, toux",Gastroentérologie
Anémie,"essoufflement, éruptions cutanées, vomissements, perte de poids, douleurs articulaires",Infectiologie
Cancer de la peau,"vomissements, diarrhée, nausées, éruptions cutanées, fièvre",Rhumatologie
Anémie,"fatigue, perte de poids, toux, vertiges",Hématologie
Cirrhose,"toux, jaunisse, vertiges, maux de tête, palpitations",Neurologie
Hypertension,"fatigue, éruptions cutanées, douleurs articulaires",Endocrinologie
Grippe,"fatigue, essoufflement, vomissements, vertiges, douleur abdominale",Hématologie
Epilepsie,"fatigue, toux, vomissements, jaunisse",Médecine générale
Zona,"maux de tête, douleurs articulaires, diarrhée, perte de poids, toux",Pneumologie
COVID-19,"douleur abdominale, fièvre, éruptions cutanées, maux de tête, vomissements",Hématologie
Epilepsie,"maux de tête, fièvre, perte de poids",Dermatologie
Gastrite,"diarrhée, palpitations, jaunisse, douleur abdominale, fatigue",Neurologie
Hernie,"toux, diarrhée, vertiges",Gastroentérologie
Paludisme,"éruptions cutanées, palpitations, fièvre, perte de poids",ORL
Thyroïdite,"nausées, toux, maux de tête, perte de poids, éruptions cutanées",Pédiatrie
Grippe,"éruptions cutanées, douleurs articulaires, maux de tête, diarrhée, toux",Endocrinologie
Conjonctivite,"nausées, palpitations, essoufflement",Endocrinologie
Paludisme,"éruptions cutanées, vomissements, maux de tête, palpitations",Dermatologie
VIH,"vertiges, palpitations, éruptions cutanées, jaunisse, douleur abdominale",Neurologie
Colite,"jaunisse, perte de poids, fièvre, maux de tête",Pneumologie
Cataracte,"maux de tête, palpitations, vertiges, fièvre",Ophtalmologie
Zona,"vertiges, perte de poids, palpitations, maux de tête",Médecine générale
Glaucome,"fièvre, maux de tête, douleurs articulaires, vomissements",Pédiatrie
Méningite,"palpitations, fièvre, douleurs articulaires",Médecine générale
Hypertension,"douleur abdominale, essoufflement, douleurs articulaires, jaunisse, fatigue",Oncologie
Epilepsie,"nausées, essoufflement, jaunisse",Cardiologie
Glaucome,"diarrhée, essoufflement, fièvre, palpitations",Chirurgie générale
Obésité,"douleur abdominale, maux de tête, vomissements, diarrhée, douleurs articulaires",Ophtalmologie
Pneumonie,"jaunisse, nausées, maux de tête, douleur abdominale",Médecine générale
Paludisme,"douleurs articulaires, essoufflement, éruptions cutanées, vertiges, nausées",Cardiologie
Arthrite,"jaunisse, vomissements, douleurs articulaires",Chirurgie générale
Goutte,"diarrhée, douleur abdominale, maux de tête",Neurologie
Appendicite,"éruptions cutanées, nausées, toux, douleur abdominale, fièvre",Endocrinologie
Thyroïdite,"nausées, éruptions cutanées, palpitations, perte de poids",Endocrinologie
Hypertension,"palpitations, toux, perte de poids, douleurs articulaires",Pneumologie
Paludisme,"fièvre, maux de tête, essoufflement, diarrhée",Infectiologie
Hépatite,"fièvre, vertiges, éruptions cutanées, douleur abdominale, perte de poids",Neurologie
Pneumonie,"douleurs articulaires, éruptions cutanées, fatigue",Pneumologie
Bronchite,"douleur abdominale, fièvre, vertiges, diarrhée",Gastroentérologie
COVID-19,"vertiges, essoufflement, douleurs articulaires",Infectiologie
Crohn,"fatigue, douleur abdominale, vomissements, nausées",Neurologie
Cancer du foie,"toux, nausées, douleurs articulaires, fièvre, vomissements",Ophtalmologie
Conjonctivite,"essoufflement, vomissements, maux de tête",Neurologie
Bronchite,"maux de tête, essoufflement, toux, éruptions cutanées, fièvre",Neurologie
Asthme,"vomissements, essoufflement, douleurs articulaires",Endocrinologie
COVID-19,"essoufflement, jaunisse, vertiges",Cardiologie
Hépatite,"palpitations, toux, éruptions cutanées, fatigue, douleurs articulaires",Oncologie
Dermatite,"fièvre, maux de tête, perte de poids",Chirurgie générale
Alzheimer,"fièvre, toux, douleurs articulaires",Cardiologie
Glaucome,"diarrhée, nausées, fièvre",Gastroentérologie
VIH,"fatigue, fièvre, éruptions cutanées, vertiges, vomissements",Oncologie
Hépatite,"vomissements, fièvre, éruptions cutanées, vertiges, jaunisse",Hématologie
Goutte,"vertiges, jaunisse, toux, vomissements, fièvre",Hématologie
Dermatite,"perte de poids, vertiges, diarrhée, fatigue, douleur abdominale",Chirurgie générale
Hépatite,"essoufflement, éruptions cutanées, maux de tête, fièvre",Endocrinologie
Cancer du foie,"palpitations, vomissements, douleur abdominale, toux",Dermatologie
Bronchite,"vertiges, vomissements, palpitations, essoufflement",Infectiologie
Arthrose,"fièvre, diarrhée, éruptions cutanées, douleurs articulaires, jaunisse",Endocrinologie
Psoriasis,"fièvre, jaunisse, douleur abdominale",Cardiologie
Alzheimer,"diarrhée, douleurs articulaires, fatigue, vomissements, douleur abdominale",Chirurgie générale
Cirrhose,"diarrhée, nausées, fièvre, vomissements, fatigue",Médecine générale
COVID-19,"vomissements, nausées, palpitations",Neurologie
Cataracte,"fièvre, palpitations, perte de poids, diarrhée",Oncologie
Méningite,"essoufflement, fièvre, diarrhée",Pédiatrie
Bronchite,"douleur abdominale, éruptions cutanées, douleurs articulaires, toux",ORL
Gastrite,"toux, vertiges, diarrhée, vomissements, jaunisse",ORL
Dermatite,"diarrhée, palpitations, douleurs articulaires",Pneumologie
Pneumonie,"douleurs articulaires, toux, maux de tête, fièvre",Infectiologie
Anémie,"toux, fatigue, douleurs articulaires, éruptions cutanées, nausées",Rhumatologie
Hépatite,"éruptions cutanées, fatigue, douleur abdominale, essoufflement, nausées",Rhumatologie
